#x Curve1
1.02589e+17 1.25834e-08
1.24124e+17 1.14568e-08
1.50178e+17 1.04311e-08
1.81702e+17 9.49723e-09
2.24542e+17 8.64696e-09
2.71675e+17 7.87282e-09
3.28701e+17 7.16799e-09
4.0613e+17 7.16799e-09
5.01819e+17 7.00187e-09
6.20027e+17 7.00187e-09
7.66113e+17 6.8396e-09
9.26805e+17 6.68109e-09
1.14507e+18 6.8396e-09
1.41474e+18 7.00187e-09
1.71127e+18 7.33805e-09
2.11419e+18 7.69037e-09
2.61209e+18 7.87282e-09
3.15957e+18 8.25082e-09
3.9035e+18 8.64696e-09
4.72145e+18 9.27713e-09
5.83288e+18 9.95321e-09
7.05511e+18 1.06786e-08
8.71626e+18 1.11913e-08
1.05427e+19 1.20069e-08
1.30244e+19 1.28819e-08
1.57529e+19 1.41486e-08
1.90538e+19 1.51797e-08
2.35391e+19 1.62859e-08
2.84703e+19 1.78873e-08
3.4436e+19 1.91909e-08
4.25404e+19 2.1078e-08
5.14522e+19 2.31506e-08
6.22309e+19 2.5427e-08
7.52676e+19 2.79273e-08
9.29856e+19 2.99625e-08
1.12465e+20 3.29088e-08
1.36026e+20 3.61447e-08
1.64514e+20 4.06407e-08
1.98979e+20 4.46369e-08
2.40663e+20 4.90261e-08
2.91079e+20 5.38469e-08

2.91456e+20 2.66478e-08
2.40974e+20 2.42621e-08
1.99236e+20 2.209e-08
1.64727e+20 2.01123e-08
1.36196e+20 1.83117e-08
1.12606e+20 1.66723e-08
9.11532e+19 1.51797e-08
7.5365e+19 1.38207e-08
6.23114e+19 1.25834e-08
5.15187e+19 1.14568e-08
4.17039e+19 1.04311e-08
3.4479e+19 9.72255e-09
2.85071e+19 8.85211e-09
2.35685e+19 8.25082e-09
1.90776e+19 7.69037e-09
1.57733e+19 7.00187e-09
1.27678e+19 6.52625e-09
1.05563e+19 5.94197e-09
8.72716e+18 5.66975e-09
7.06424e+18 5.28463e-09
5.71818e+18 4.92566e-09
4.72756e+18 4.59108e-09
3.82658e+18 4.38074e-09
3.16366e+18 4.08317e-09
2.56062e+18 3.98855e-09
2.11692e+18 3.80582e-09
1.71348e+18 3.63146e-09
1.38687e+18 3.5473e-09
1.14655e+18 3.38479e-09
9.27964e+17 3.38479e-09
7.51015e+17 3.46509e-09
6.07834e+17 3.46509e-09
4.9193e+17 3.5473e-09
3.98143e+17 3.5473e-09
3.29112e+17 3.63146e-09
2.72014e+17 3.98855e-09
2.24822e+17 4.38074e-09
1.81937e+17 4.7e-09
1.50372e+17 5.16215e-09
1.24284e+17 5.66975e-09
1.02722e+17 6.22727e-09





