#x Curve1
1.01228e+17 1.79342e-16
1.5983e+17 1.03061e-16
2.89448e+17 4.67083e-17
7.05353e+17 1.50231e-17
1.24816e+18 8.63317e-18
3.18222e+18 3.71157e-18
8.88845e+18 1.51368e-18
2.48176e+19 8.03662e-19
6.92987e+19 4.04763e-19
1.97922e+20 2.38819e-19
9.77241e+20 1.17149e-19
1.02306e+21 1e-19

8.72188e+20 1e-19
2.91769e+20 1.65073e-19
9.11516e+19 2.79775e-19
3.65932e+19 4.74178e-19
9.74292e+18 9.92491e-19
5.02597e+18 1.72709e-18
9.49564e+17 7.76862e-18
3.39821e+17 2.5462e-17
9.67698e+16 1.20735e-16

