#IceCube E^-2
7.8696196E14 8.4e-09
9.9999999E14 8.4e-09
1.49076919E15 8.4e-09
2.22239271E15 8.4e-09
2.82401535E15 8.4e-09
4.5599442E15 8.4e-09
6.7978246E15 8.4e-09
1.09764632E16 8.4e-09
1.77237216E16 8.4e-09
2.64219774E16 8.4e-09
3.9389068E16 8.4e-09
5.8720011E16 8.4e-09
8.7537979E16 8.4e-09
1.30498922E17 8.4e-09
1.79611959E17 8.4e-09
3.141303E17 8.4e-09
4.68295781E17 8.4e-09
6.4453805E17 8.4e-09
8.1902058E17 8.4e-09
1.22097055E18 8.4e-09
1.97150406E18 8.4e-09
3.18339238E18 8.4e-09
5.567558E18 8.4e-09
8.989949E18 8.4e-09
1.1423612E19 8.4e-09
1.702997E19 8.4e-09
2.9784371E19 8.4e-09
4.440162E19 8.4e-09
6.1112097E19 8.4e-09
8.411152E19 8.4e-09
1.1576674E20 8.4e-09
1.4710589E20 8.4e-09
1.8692883E20 8.4e-09
2.1930092E20 8.4e-09
2.7866774E20 8.4e-09
3.0183445E20 8.4e-09
3.5410572E20 8.4e-09
4.1542927E20 8.4e-09
4.4996548E20 8.4e-09
4.873728E20 8.4e-09

