#nu Galactic Reciever
8.43549 3.62597 0.11653
10.0193 3.46405 0.139213
11.9871 3.303 0.167562
17.2061 3.00853 0.24346
18.0155 2.97904 0.255307
24.2085 2.7963 0.346087
33.7181 2.57334 0.486789
34.0732 2.56671 0.492068
51.4051 2.31932 0.748109
78.096 2.04582 1.14549
83.2239 2.00716 1.22427
130.757 1.79051 1.96376
171.92 1.67174 2.61456
182.121 1.64775 2.77818
251.124 1.5165 3.89666
262.945 1.50124 4.09005
423.323 1.35199 6.70983
444.961 1.33548 7.0667
645.38 1.21853 10.2654
708.559 1.18877 11.2746
954.683 1.09854 15.1127
1072.62 1.0676 16.9454
1398.17 1.00042 22.8544
1409.71 0.99841 23.0673
